Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-05-16,Soul,2020,https://boxd.it/6u3SED,5,,with cousins,2024-01-12
2024-05-16,Taylor Swift: The Eras Tour,2023,https://boxd.it/6u3VJV,4.5,,with cousins,2024-01-13
2024-05-16,Barbie,2023,https://boxd.it/6u3VRZ,5,Yes,with cousins,2024-01-14
2024-05-16,Elemental,2023,https://boxd.it/6u3SNv,5,,with cousins,2024-01-15
2024-05-16,Saltburn,2023,https://boxd.it/6u3UTl,2.5,,,2024-02-19
2024-05-16,20th Century Women,2016,https://boxd.it/6u3Qvp,4.5,,,2024-03-07
2024-05-16,Chungking Express,1994,https://boxd.it/6u3Vi1,4.5,,,2024-03-07
2024-05-16,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/6u3T1R,5,Yes,,2024-03-13
2024-05-16,Damsel,2024,https://boxd.it/6u3UuF,3,,with fam!,2024-03-21
2024-05-16,Howl's Moving Castle,2004,https://boxd.it/6u3RZl,4.5,,,2024-04-04
2024-05-16,Ponyo,2008,https://boxd.it/6u3S8d,4.5,,,2024-04-08
2024-05-23,Ocean Waves,1993,https://boxd.it/6wRcRD,3.5,,,2024-04-12
2024-05-16,12th Fail,2023,https://boxd.it/6u3R1l,5,,with fam!,2024-04-14
2024-05-23,Underwater,2020,https://boxd.it/6wRclx,3,,,2024-04-17
2024-05-23,Jurassic Park,1993,https://boxd.it/6wRdsp,4.5,Yes,,2024-04-20
2024-05-23,The Lost World: Jurassic Park,1997,https://boxd.it/6wRdL7,3.5,Yes,,2024-04-21
2024-05-23,Jurassic Park III,2001,https://boxd.it/6wRdYl,3,Yes,,2024-04-22
2024-05-23,Jurassic World: Fallen Kingdom,2018,https://boxd.it/6wRed1,4,Yes,,2024-04-24
2024-05-16,Spirited Away,2001,https://boxd.it/6u3RA1,5,Yes,with fam!,2024-05-01
2024-05-16,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6u3P4d,5,,,2024-05-07
2024-05-16,Pride & Prejudice,2005,https://boxd.it/6u3TFx,5,Yes,with fam!,2024-05-10
2024-05-16,Interstellar,2014,https://boxd.it/6u3PSn,5,Yes,mom,2024-05-11
2024-05-19,Mamma Mia! Here We Go Again,2018,https://boxd.it/6vb0rP,4,Yes,mom,2024-05-17
2024-05-19,La La Land,2016,https://boxd.it/6vb1k1,5,Yes,mom,2024-05-18
2024-05-19,Barbie,2023,https://boxd.it/6vb1Ol,4.5,Yes,mom,2024-05-18
2024-05-20,Inception,2010,https://boxd.it/6vgijT,5,,with fam!,2024-05-19
2024-05-23,Challengers,2024,https://boxd.it/6wOi4V,4.5,,,2024-05-20
2024-05-23,The Lovely Bones,2009,https://boxd.it/6wRbfX,2,,with fam!,2024-05-23
2024-05-28,Midnight in Paris,2011,https://boxd.it/6z2Zt1,4,,with fam!,2024-05-24
2024-05-28,The Idea of You,2024,https://boxd.it/6z13kN,2.5,,,2024-05-25
2024-05-28,The Fall Guy,2024,https://boxd.it/6z31Dd,3.5,,with fam!,2024-05-25
2024-05-28,A Quiet Place,2018,https://boxd.it/6z3379,3,Yes,with fam!,2024-05-27
2024-05-28,Marcel the Shell with Shoes On,2021,https://boxd.it/6z36wB,5,,,2024-05-27
2024-06-03,Marcel the Shell with Shoes On,2021,https://boxd.it/6BcSiN,5,Yes,mom,2024-06-01
2024-06-03,My Neighbor Totoro,1988,https://boxd.it/6BcVht,4.5,,with fam!,2024-06-01
2024-06-03,Gravity,2013,https://boxd.it/6BcWeZ,1,,with fam!,2024-06-01
2024-06-09,The Impossible,2012,https://boxd.it/6DNX4D,2.5,,with fam!,2024-06-08
2024-06-09,Bottoms,2023,https://boxd.it/6DO1n5,4.5,,,2024-06-08
2024-06-15,Oppenheimer,2023,https://boxd.it/6G8NaB,4.5,,with fam!,2024-06-09
2024-06-15,Shiva Baby,2020,https://boxd.it/6G917L,5,,,2024-06-15
2024-06-17,Dune,2021,https://boxd.it/6GHhbd,4.5,,with fam!,2024-06-16
2024-06-17,Dune: Part Two,2024,https://boxd.it/6GM2PR,5,,with fam!,2024-06-16
2024-06-27,I Saw the TV Glow,2024,https://boxd.it/6KFoWR,4,,,2024-06-26
2024-06-27,Carol,2015,https://boxd.it/6KW4U1,4,,,2024-06-27
2024-07-06,The Princess Diaries,2001,https://boxd.it/6OGjKz,4,Yes,mom,2024-07-06
2024-07-07,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/6OM0QZ,4,,with fam!,2024-07-06
2024-07-07,The Parent Trap,1998,https://boxd.it/6P8Y0N,4,Yes,mom,2024-07-07
2024-07-08,Fantastic Mr. Fox,2009,https://boxd.it/6PDnrp,4.5,,,2024-07-08
2024-07-14,The Perks of Being a Wallflower,2012,https://boxd.it/6RWDHT,5,,,2024-07-13
2024-07-15,A Quiet Place: Day One,2024,https://boxd.it/6SldzJ,3.5,,"ccc, with broskie",2024-07-14
2024-07-15,Moonrise Kingdom,2012,https://boxd.it/6SLQa1,4,,,2024-07-15
2024-07-16,Pearl,2022,https://boxd.it/6TcOZb,3.5,,,2024-07-16
2024-07-17,Puparia,2020,https://boxd.it/6TDt77,5,,short film,2024-07-17
2024-07-17,X,2022,https://boxd.it/6TFPz7,4,,,2024-07-17
2024-07-18,I Used to Be Funny,2023,https://boxd.it/6U5Fnx,5,,,2024-07-18
2024-07-21,Puss in Boots: The Last Wish,2022,https://boxd.it/6V35dV,4.5,,,2024-07-20
2024-07-21,Emma.,2020,https://boxd.it/6Vsrhl,4,,with fam!,2024-07-21
2024-07-22,Before Sunrise,1995,https://boxd.it/6VtWb1,4,,mom,2024-07-21
2024-07-23,Bones and All,2022,https://boxd.it/6Wo1jV,4.5,,,2024-07-23
2024-07-23,Bodies Bodies Bodies,2022,https://boxd.it/6WppjR,5,,,2024-07-23
2024-07-27,The Holdovers,2023,https://boxd.it/6YeNip,5,,mom,2024-07-27
2024-07-28,Everything Everywhere All at Once,2022,https://boxd.it/6Ylpn5,5,Yes,mom,2024-07-27
2024-07-29,The Edge of Seventeen,2016,https://boxd.it/6ZcXbX,4,,,2024-07-29
2024-07-31,Nope,2022,https://boxd.it/6ZYJGt,5,,,2024-07-30
2024-08-04,Passengers,2008,https://boxd.it/71DaYj,3.5,,mom,2024-08-03
2024-08-09,Shark Tale,2004,https://boxd.it/73PbCv,4,Yes,,2024-08-08
2024-08-12,Kiki's Delivery Service,1989,https://boxd.it/75aKlF,4,,mom,2024-08-11
2024-08-18,It Ends with Us,2024,https://boxd.it/77TeK7,3.5,,"ccc, friends",2024-08-17
2024-08-19,Twisters,2024,https://boxd.it/78ryO7,2.5,,with fam!,2024-08-19
2024-08-29,Weathering with You,2019,https://boxd.it/7d0Spx,5,,,2024-08-29
2024-09-11,Jurassic World Dominion,2022,https://boxd.it/7iJF7P,4.5,Yes,,2024-09-10
2024-09-17,Mean Girls,2004,https://boxd.it/7lLqqj,5,Yes,,2024-09-15
2024-09-17,Mean Girls,2024,https://boxd.it/7lLqTv,4,,with broskie,2024-09-17
2024-09-26,Minions: The Rise of Gru,2022,https://boxd.it/7pyo3H,4,,,2024-09-26
2024-09-27,Juno,2007,https://boxd.it/7pSwmd,4,,,2024-09-27
2024-09-27,Anyone But You,2023,https://boxd.it/7pVnXv,4,,,2024-09-27
2024-09-29,Legally Blonde,2001,https://boxd.it/7qtyan,4.5,,mom,2024-09-28
2024-10-18,Inside Out 2,2024,https://boxd.it/7zGokf,3.5,,with fam!,2024-10-12
2024-10-17,Arrival,2016,https://boxd.it/7zDCNp,4.5,,with fam!,2024-10-16
2024-10-18,Ready or Not,2019,https://boxd.it/7A1Iil,4,,with fam!,2024-10-17
2024-10-21,The Wild Robot,2024,https://boxd.it/7BKlHr,4,,"ccc, with fam!",2024-10-19
2024-10-28,Ad Astra,2019,https://boxd.it/7EPhp1,4,,with fam!,2024-10-27
2024-11-11,Imagine Me & You,2005,https://boxd.it/7M60C5,4,,,2024-11-10
2024-11-16,Glass Onion,2022,https://boxd.it/7OuTI9,4,,with fam!,2024-11-15
2024-11-16,Ready Player One,2018,https://boxd.it/7OXWDz,4,Yes,,2024-11-16
2024-11-17,Tenet,2020,https://boxd.it/7P8fGH,4,,with fam!,2024-11-17
2024-12-20,Interstellar,2014,https://boxd.it/86iNB5,5,Yes,"imax hcm, friends",2024-12-06
2025-01-08,Bottoms,2023,https://boxd.it/8mxfP7,5,Yes,friends,2024-12-11
2024-12-21,Smile 2,2024,https://boxd.it/86yFxB,3,,with cousins,2024-12-21
2024-12-25,Ratatouille,2007,https://boxd.it/89MDBh,4,Yes,with cousins,2024-12-23
2024-12-25,The Babadook,2014,https://boxd.it/89sX0F,3,,with cousins,2024-12-24
2024-12-26,That Christmas,2024,https://boxd.it/89Q7u7,4.5,,"mom, with cousins",2024-12-25
2024-12-31,A Boy Called Christmas,2021,https://boxd.it/8fi0rh,3,,"mom, with cousins",2024-12-30
2025-01-01,Moana 2,2024,https://boxd.it/8g2a8V,3.5,,"ccc, with cousins",2024-12-31
2025-01-02,Beauty and the Beast,2017,https://boxd.it/8h9Hu9,4,Yes,with cousins,2025-01-02
2025-01-04,Longlegs,2024,https://boxd.it/8iglET,4,,with cousins,2025-01-03
2025-01-11,Shutter Island,2010,https://boxd.it/8pCeGZ,4.5,,with cousins,2025-01-10
2025-01-17,The Hustle,2019,https://boxd.it/8viEC9,3.5,,with cousins,2025-01-16
2025-01-19,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/8wZaM9,2,,,2025-01-17
2025-01-21,Us,2019,https://boxd.it/8ylHtd,5,,with cousins,2025-01-20
2025-01-22,Lost in Translation,2003,https://boxd.it/8ztpeT,3.5,,,2025-01-22
2025-01-23,Wicked,2024,https://boxd.it/8Adwah,4.5,,ccc,2025-01-23
2025-01-25,In the Mood for Love,2000,https://boxd.it/8Bam4r,5,,,2025-01-24
